"Rank","Last.year","Up.or.down","Name","Position","Position.modifier","Club.on.20.Dec.2020","League","Age.on.20.Dec.2020","Nationality","Profile","Writer"
11,"37","26","Joshua Kimmich","Midfielder","CENTRE","Bayern Munich","Germany",25,"Germany","Another player who found clarity and contentment at Bayern under Hansi Flick. Some will say the ultra-reliable Kimmich never needed that, but Flick’s decree that he is a midfielder rather than a right-back helped Kimmich elevate his game and teases the frightening prospect that this team totem will become even better in years to come. His intelligence and grit are unmatched, plus he scored the sublime winner at Dortmund in May that all but sealed Bayern’s latest Bundesliga title. True to form he played a star turn <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">in the Champions League final</a> – filling in as a right-back, of course. ","Andy Brassell"
12,"20","8","Karim Benzema","Forward","CENTRE","Real Madrid","Spain",33,"France","“That’s how I see football,” Benzema said after he produced <a href=""https://www.theguardian.com/football/blog/2020/jun/29/karim-benzema-real-madrid-backheel-sums-up-la-liga-weekend-of-beauty-and-brilliance"">a gorgeous backheeled assist against Espanyol</a>. And now it seems others see football his way too. They have taken a long time; after a decade at Real Madrid, much of it spent facilitating Cristiano Ronaldo, it feels like Benzema is only now getting fully recognised. Not so much a No 9 as a nine and a half, an all-round player rather than out-and-out goalscorer, he was top scorer and the key attacker in Real Madrid’s league title success. “Anyone who likes football likes Karim,” Zinedine Zidane says. Bonjour, Didier.","Sid Lowe"
13,"36","23","Sergio Ramos","Defender","CENTRE","Real Madrid","Spain",34,"Spain","Up 23 places, the second highest defender on this list, and he won’t be happy to find anyone above him. Ramos is an almost cartoonish footballer, all wild and epic. At 34, he should be getting worse, but there’s no sign of that and if you want a measure of his significance, just take a look at Real Madrid without him. Have a listen, in fact: even when he’s not playing, his is the voice you can hear at Valdebebas, shouting from the empty stands. He led them to the league title last season and is closing in on the all-time, worldwide record for international caps.","Sid Lowe"
14,"174","Re-entry","Thomas Müller","Forward","CENTRE","Bayern Munich","Germany",31,"Germany","For years, Müller has been underestimated outside Germany (and inside too to an extent, with Jogi Löw removing him from national team consideration), with many wondering how to define what exactly it is that the Raumdeuter (""space interpreter"") does. Niko Kovac certainly struggled to find Müller pride of place in his team, but Hansi Flick has allowed him to be himself to spectacular effect. The 31-year-old has chipped in with goals but piled on the assists, with 21 in the Bundesliga alone last term. He is also part of Bayern’s soul – combative, dogged, refusing to be beaten and full of craft. ","Andy Brassell"
15,"113","Re-entry","Manuel Neuer","Goalkeeper","CENTRE","Bayern Munich","Germany",34,"Germany","The year began with heated debate in Germany over whether Neuer should even be Germany’s first-choice goalkeeper, with Marc-André ter Stegen having matured into Barcelona’s most important player after Lionel Messi. Bayern’s Champions League quarter-final demolition of Barça shouldn’t be taken as a turning point or proof of respective quality, though. Neuer’s revival this year is all his own doing, with the post-pandemic resolution of his contract standoff with Bayern clearing his mind and restoring him to his 2014 peak after a couple of indifferent years by his standards. He was key <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">in the Champions League final</a>, too.","Andy Brassell"
16,"38","22","Serge Gnabry","Winger","RIGHT","Bayern Munich","Germany",25,"Germany","Gnabry’s former coach Tony Pulis is often ridiculed for once saying the winger wasn’t good enough for his West Brom team. If we’re honest, no one could have expected this version, where electric pace is allied with vision, razor-sharp passing and explosive finishes with either foot. The 25-year-old weighs in at big moments, with his brilliant goal setting the tone in the Champions League semi-final win over Lyon. He is also prolific for Germany, despite the current state of flux in Jogi Löw’s team. There has been an attempt to nickname Gnabry and Leroy Sané ""Snabry"" in tribute to their wing predecessors, but his influence deserves to be lauded on its own.","Andy Brassell"
17,"","Re-entry","Thiago Alcântara","Midfielder","CENTRE","Liverpool","England",29,"Spain","The midfielder rightly returns to this list having missed out in the previous two years. He was the beating heart of a Bayern Munich side that won the treble, making 41 appearances across all competitions and impressing with his passing and composure in practically every one, and the Spaniard would probably find himself higher than 17th were it not for his frequent absences since moving to Liverpool in September due to a combination of Covid-19 and being the other member of Jürgen Klopp’s side to suffer a serious knee injury at the hands of Everton. A wonderful player and the second-highest Spain international on this list, after Sergio Ramos.","Sachin Nakrani"
18,"17","-1","Trent Alexander-Arnold","Defender","RIGHT","Liverpool","England",22,"England","Liverpool's full-backs have redefined the role and Alexander-Arnold's ability to shape a game from right-back was unerring as his boyhood team cruised to the Premier League title. The homegrown talent surpassed his own record for the number of Premier League assists by a defender with 13 last season and featured in every league game for Jürgen Klopp's champions. His importance is reflected by his position as the highest ranked English player on the list, overtaking Harry Kane, and by the captain's armband he received for the first – but certainly not the last – time against Midtjylland in the Champions League.","Andy Hunter"
19,"51","32","Romelu Lukaku","Forward","CENTRE","Internazionale","Italy",27,"Belgium","This has felt like a brilliant year but also a cursed one for Lukaku, the stand-out performer in an Inter team who finished as runners-up in Serie A and the Europa League. He won player of the tournament for the latter competition after scoring in all his team’s games, yet his <a href=""https://www.theguardian.com/football/2020/aug/21/internazionale-sevilla-europa-league-final-match-report"">own goal in the final was decisive</a>, as was his accidental block of an Alexis Sánchez header as Inter dropped out of the Champions League. Things went better when he deputised as captain of Belgium for the first time in October, scoring both his team’s goals in a win over Iceland. ","Nicky Bandini"
20,"15","-5","Harry Kane","Forward","CENTRE","Tottenham Hotspur","England",27,"England","Kane is riding the crest of a wave. “I’d say it’s probably the best form I’ve been in in my life,” the Tottenham striker said after scoring in <a href=""https://www.theguardian.com/football/2020/dec/06/tottenham-arsenal-premier-league-match-report"">his team’s win over Arsenal</a> on 6 December. The goals have continued to flow during a year that began with a serious hamstring tear. But it has been the development of his all-round game that has taken him to a new level. Kane has always been a fine passer; a No 10 as well as a No 9. Now, as he has dropped deeper to pick out the runs of Son Heung-min in particular, he also has the assist stats to dazzle. ","David Hytner"
21,"69","48","Bruno Fernandes","Midfielder","CENTRE","Manchester United","England",26,"Portugal","Up 48 places from last year and one of the highest climbers on the list. Made such an immediate impact at Manchester United that people are already saying he is responsible for keeping Ole Gunnar Solskjær in a job. Certainly his input was central to United claiming a Champions League place last season, not to mention putting the Paul Pogba problem on a back burner, and if Solskjær had 11 players like Fernandes his prospects would look a lot more secure. As it is the Portugal international stands out like a beacon in a side struggling for consistency. Going out of the Champions League early will have been a major disappointment.  ","Paul Wilson"
22,"19","-3","Son Heung-min","Winger","LEFT","Tottenham Hotspur","England",28,"South Korea","There is something about Son that cuts through football’s tribal allegiances to warm the hearts of fans of all clubs and it is reflected in our judges' views, with 208 of the 241 voting for his inclusion on the list. Maybe it is the smile, the clear impression that he loves what he does. Or perhaps it is the wholehearted commitment that is underpinned by good sportsmanship. More likely it is the pace and ruthlessness, the feeling that this is a forward hellbent on finding new ways to be effective. <a href=""https://www.theguardian.com/football/blog/2020/oct/31/in-this-strange-season-son-heung-min-and-harry-kane-put-spurs-in-the-title-mix"">After a hot start in 2020-21</a>, he is on course for his highest goals return from a season.","David Hytner"
23,"","New","Alphonso Davies","Defender","LEFT","Bayern Munich","Germany",20,"Canada","The first Canadian to ever feature on the top 100 list was memorably described by teammate Thomas Müller as “<a href=""https://www.theguardian.com/football/blog/2020/aug/22/alphonso-davies-bayern-munich-roadrunner-speeds-on-to-centre-stage"">the FC Bayern roadrunner</a> - meep meep!” earlier in the year and his rise has been stratospheric. Arriving from MLS as a teenage winger of some promise, Davies finished last season as perhaps already the world’s best left-back. Reassigned to defence by Niko Kovac in an injury crisis to cover record signing Lucas Hernández, Davies impressed Hansi Flick enough to make it a more permanent arrangement. Davies’s acceleration makes him dangerous when attacking from deep positions, he has great quality on the ball and has learned to defend admirably quickly.","Andy Brassell"
24,"63","39","Ciro Immobile","Forward","CENTRE","Lazio","Italy",30,"Italy","The third Italian ever to win a European Golden Shoe, and the highest-ranked Italian on our list, Immobile was simply irresistible in 2020, maintaining a goal-per-game strike rate from one season to the next and either side of a coronavirus lockdown. On his way to matching Serie A’s single-season scoring record, he helped Lazio to reach the Champions League for the first time in more than a decade. He then struck five times in four group-stage appearances – including two against the Borussia Dortmund side who discarded him five years ago – to push Lazio on toward the last 16.","Nicky Bandini"
25,"96","71","Zlatan Ibrahimovic","Forward","CENTRE","Milan","Italy",39,"Sweden","The Swede is deservedly back in the top 30 for <a href=""https://www.theguardian.com/football/ng-interactive/2016/dec/20/the-100-best-footballers-in-the-world-2016-interactive"">the first time since 2016</a>. Milan’s decision to re-sign Ibrahinovic in December 2019 after his two years with LA Galaxy was greeted with scepticism but he has, once again, proved everyone wrong. Milan were 11th when ""Ibra"" joined and there was an immediate upturn in results. Stefano Pioli’s side finished sixth with the 39-year-old scoring 10 goals in 18 Serie A games. He is, at the time of writing the joint top Serie A goalscorer in 2020-21 with 10 goals in six games but he contributes more than goals. As Pioli said when Ibrahimovic joined: ""He is a warrior and a leader, he will inspire the whole team."" ","Marcus Christenson"
26,"9","-17","Alisson","Goalkeeper","CENTRE","Liverpool","England",28,"Brazil","The Brazil international missed the first three months of last season through injury – which perhaps explains why he is no longer the highest-ranked goalkeeper on the list – and yet he still finished the campaign with 13 clean sheets as Liverpool won the Premier League. Only two other keepers, Ederson and Nick Pope, kept more. Injuries have struck again this season but Alisson's presence continues to make a telling difference to the Liverpool team and not only defensively. His distribution and quick thinking are a vital part of the supply chain to Liverpool's forward line. A commanding presence. ","Andy Hunter"
27,"8","-19","Raheem Sterling","Winger","LEFT","Manchester City","England",26,"England","Down 19 places from <a href=""https://www.theguardian.com/global/ng-interactive/2019/dec/17/the-100-best-male-footballers-in-the-world-2019"">his top 10 ranking last year</a> and, like Kevin De Bruyne, not able to stand out quite as much when Manchester City abandon their all-attacking style for something a little more defensive and sensible. Still finished the 2019-20 season with 20 league goals, his highest total for City. Also became the first English player to score 100 goals for the club since Dennis Tueart with a strike that helped knock Real Madrid out of the Champions League last season. City themselves were knocked out in the next round and Sterling has yet to add a European title to his list of achievements.","Paul Wilson"
28,"24","-4","Jan Oblak","Goalkeeper","CENTRE","Atlético Madrid","Spain",27,"Slovenia","No one ever makes a fuss about Oblak, especially not Oblak. Yeah, so he’s been on this list every year since 2016, and in the top half too, but seen from Spain even that can feel like it underplays his significance. And maybe that makes sense: the Slovenian somehow manages to make even spectacular saves look standard, almost routine, like he was always going to get to that ball heading into the top corner. There’s no rolling about, no ostentatious shouting, and no media profile at all. He’s just there every day, doing his job – really, really well.","Sid Lowe"
29,"32","3","Jadon Sancho","Winger","RIGHT","Borussia Dortmund","Germany",20,"England","It is easy to see why Borussia Dortmund <a href=""https://www.theguardian.com/football/2020/sep/29/dortmund-tell-manchester-united-90m-is-nowhere-near-enough-for-jadon-sancho"">held so firm amid Manchester United’s persistent advances</a> last summer. Sancho just gets better and better; he is one of only five players in our ranking who are aged 20 or younger and it is a tantalising thought that he should have at least a decade left at the very top. Last season he was electric, scoring 17 Bundesliga goals and providing 16 assists; the start to this term in a spluttering side has been slower but he remains a class act who blends explosiveness with a preternatural precision and ability to make the right choice. He would fit into any side in the world, although the price would be steep: the question appears to be when, rather than if, United or any of their rivals manage to get a deal over the line.","Nick Ames"
30,"59","29","Timo Werner","Forward","CENTRE","Chelsea","England",24,"Germany","The striker might have been even higher had he chosen to delay his move to Chelsea in favour of staying with RB Leipzig until the conclusion of their Champions League campaign last season. Werner was Leipzig’s star man – he scored 34 goals in all competitions in his final campaign with the Bundesliga club – and they missed him when they lost to PSG in the last four. Yet the Germany international <a href=""https://www.theguardian.com/football/2020/sep/18/timo-werner-rb-leipzig-chelsea-interview"">wanted to hit the ground running</a> in England and his single-minded decision has helped him make a fine start to life with his new club. Nicknamed Turbo Timo because of his speed, the 24-year-old is already a hit with Chelsea fans.","Jacob Steinberg"
31,"128","Re-entry","David Alaba","Defender","CENTRE","Bayern Munich","Germany",28,"Austria","For someone as decorated as Alaba, it’s saying something to say that he has had a career-best season, but that is absolutely what has happened. Recast as a centre-back in response to a Bayern defensive injury crisis the elegant Austrian has been phenomenal, a tough customer whose expertise in bringing the ball out is key to the team’s attacking impetus. As the loudest member of the team – something reaffirmed in empty stadiums – Alaba has also been integral to in-game coaching Alphonso Davies, all of which makes his potential departure at the end of his contract alarming. Thiago Alcântara’s exit disappointed but Alaba going would be a whole new world of pain. ","Andy Brassell"
32,"148","New","Alejandro ""Papu"" Gómez","Forward","CENTRE","Atalanta","Italy",32,"Argentina","If there is a face to the Atalanta fairytale, then it can only be Gomez, the club captain and pocket magician whose endless grin has seemed to embody his team’s joyful approach to the game. His 16 assists last season (in Opta’s count) were a Serie A record, and topped up with goals of his own – some scored at the end of whole-team moves that he had launched in his own half. But his year ends on a challenging note, with reports that he could even depart the club this January after <a href=""https://www.theguardian.com/football/blog/2020/dec/17/does-the-individual-mean-more-than-atalanta-collective-with-papu-gomez-serie-a"">a falling-out with manager Gian Piero Gasperini.</a>  ","Nicky Bandini"
33,"74","41","Jordan Henderson","Midfielder","CENTRE","Liverpool","England",30,"England","Henderson has risen 41 places and frankly it comes as a surprise he did not climb higher given his performances for Liverpool this year. A true captain in that he has led not only with word but also deed, regularly displaying a range of all-round abilities from midfield. The 30-year-old can do a little bit of everything and does everything incredibly well, and ultimately it was fitting that he was the man who hoisted<a href=""https://www.theguardian.com/football/2020/jun/30/no-one-can-replace-steven-gerrard-this-title-win-is-for-him-says-henderson""> the Premier League trophy</a> aloft for Jürgen Klopp’s team in July. Soon after he was also named the Football Writers' Association player of the year, an honour which was fully deserved.","Sachin Nakrani"
34,"23","-11","Andrew Robertson","Defender","LEFT","Liverpool","England",26,"Scotland","The Liverpool left-back has dropped 11 places but is the fourth highest-ranked defender on the list, and ultimately both of those things sound about right. Robertson’s performances in 2020 have not been as good as they were in the previous year but they have still been excellent, and especially so in the 2020-21 campaign. Defensively sound and a regular provider of assists, including the one that led to Roberto Firmino’s late winner in the recent <a href=""https://www.theguardian.com/football/2020/dec/16/liverpool-tottenham-hotspur-premier-league-match-report"">top-of-the-table clash</a> with Tottenham. The 26-year-old has also excelled as Scotland captain, playing a crucial role in them  <a href=""https://www.theguardian.com/football/2020/nov/12/scotland-serbia-euro-2020-reaction-andy-robertson-steve-clarke"">qualifying for a major tournament</a> for the first time in 23 years.  ","Sachin Nakrani"
35,"48","13","Jamie Vardy","Forward","CENTRE","Leicester City","England",33,"England","Age shows no signs of slowing down this striker, who has jumped 13 places in the Top 100 after becoming the oldest player to finish a season as the Premier League’s top scorer. Brendan Rodgers has helped him hone his game to prolong his efficiency, concentrating his pressing and runs in zones where he can do maximum damage. His cleverness, energy and, of course, speed make him a harrowing opponent and once he gets the jump on defenders, he remains deadly. One of nine English players in the Top 100, he would be an excellent option to have at the European Championships if Gareth Southgate could coax him out of international retirement by convincing him he could use him well.","Paul Doyle"
36,"28","-8","Pierre-Emerick Aubameyang","Winger","LEFT","Arsenal","England",31,"Gabon","As recently as September there would have been a good chance of Aubameyang rising eight places rather than falling by that number. He has carried Arsenal for much of his time there and, by the end of 2019-20, could fairly be described as the best striker in the Premier League. Arsenal were outsiders to win the FA Cup but Aubameyang scored all four of their goals against Manchester City and, <a href=""https://www.theguardian.com/football/2020/aug/01/aubameyang-arsenal-chelsea-fa-cup-final-match-report"">in the final, Chelsea at Wembley</a>. A long-running contract saga was quickly put to bed but the good news has slowed since. The club captain went three months without a goal from open play in the top flight before <a href=""https://www.theguardian.com/football/2020/dec/16/arsenal-southampton-premier-league-match-report"">scoring against Southampton</a> in mid-December, admittedly in an uncreative side, and was facing question marks for the first time in his Arsenal career.","Nick Ames"
37,"35","-2","João Félix","Forward","CENTRE","Atlético Madrid","Spain",21,"Portugal","João Félix is down two on last year, which is odd on one level and less so on the other. After his €126m signing, there was a sense that his first season was disappointing – a reminder: he arrived aged 19 – but his second is shaping up to be special. Arguably Spain’s brightest performer so far, just how good he is was revealed by a conversation caught on camera in the tunnel at the Metropolitano. “What a bastard that guy is,” his teammate Saúl says. “When he wants to, he can change the game, man.” To which Oblak replies, simply: “<italics>Madre mía</italics>, he’s so good.”","Sid Lowe"
38,"39","1","Ángel Di María","Winger","RIGHT","Paris St-Germain","France",32,"Argentina","Di María's fifth season for PSG was unquestionably his best, as he attained a level of consistency that had previously eluded him. His ability to unlock defences with mazy dribbles or magical passes was a major factor in his club retaining their domestic title and reaching the Champions League final. On top of his eight goals he would probably, if not for the lockdown, have set a new Ligue 1 record for the number of assists in a season. “I have always said I prefer playing the decisive pass to scoring goals, that's what fulfils me,” he said in the summer. Although he scored in the Champions League semi-final, the year took a downturn after that, <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">as PSG lost the final</a>, Di María lost his place in the Argentina squad and, in September, he was banned for four matches for spitting.","Paul Doyle"
39,"42","3","Paulo Dybala","Forward","CENTRE","Juventus","Italy",27,"Argentina","There might be enough material for a full book on Dybala’s 2020. He won Serie A’s Most Valuable Player award after starring through the summer to help Juventus win their ninth consecutive Scudetto. He scored a gem in a crucial game against Internazionale right before lockdown, too, and did not seem to suffer any lasting adverse effects from a six-week coronavirus infection in-between. Yet in recent months he has barely played – struggling to carve out a role under Andrea Pirlo and performing poorly when he does get on the pitch. The manager has suggested he needs to learn to train harder. ","Nicky Bandini"
40,"","New","Leon Goretzka","Midfielder","CENTRE","Bayern Munich","Germany",25,"Germany","Goretzka was one of the big winners of lockdown, putting on considerable muscle (as his teammates merrily pointed out in their <a href=""https://www.theguardian.com/football/2020/jun/16/bayern-munich-win-eighth-successive-bundesliga-title-with-win-over-bremen"">title celebrations</a>) as he continues to transform his game. In his second season at Bayern he went from bit-part player to first pick, with his strength and box-to-box energy a key part of the club's treble winners. Goretzka’s formidable central midfield partnership with Joshua Kimmich under Hansi Flick has evolved Bayern’s style, and was a big part of persuading the club not to pull out all the stops to halt Thiago Alcântara's move to Liverpool. He is now part of Germany’s new spine too. ","Andy Brassell"
41,"72","31","Marcus Rashford","Winger","LEFT","Manchester United","England",23,"England","His finishing could be more clinical, but it would practically amount to a crime against humanity to criticise a player who has spent much of 2020 as the <a href=""https://www.theguardian.com/football/2020/nov/21/how-marcus-rashford-became-such-a-devastating-activist"">unofficial Leader of the Opposition</a> as well as the leader of the Manchester United attack. He helped his side to third place in the league last season, and started this one with a Champions League <a href=""https://www.theguardian.com/football/2020/oct/28/marcus-rashford-hits-hat-trick-as-manchester-united-dismantle-leipzig"">hat-trick against RB Leipzig</a>, the first United player to do that from the bench since Ole Gunnar Solskjær. He will be unhappy about the mainly defensive lapses that meant United were out of the Champions League before Christmas, but a jump up the list is a sign that his attacking ability is being recognised.  ","Paul Wilson"
42,"44","2","Toni Kroos","Midfielder","CENTRE","Real Madrid","Spain",30,"Germany","“Kroos is so overrated man,” someone on Twitter said the night <a href=""https://www.theguardian.com/football/2020/jul/16/real-madrid-win-la-liga-title-as-benzema-double-defeats-villarreal"">Real Madrid won La Liga</a>. <a href=""https://twitter.com/ToniKroos/status/1286235341540806656"">“Yes but don’t tell anybody,”</a> Kroos replied. And anyway, placed at 42 in the list he’s not overrated at all, and would be entitled to feel that he might be higher. “I’m not Casemiro,” he pointed out and he was right. There have been moments when he has been asked to play the deep midfield role and it doesn’t really work. Get him back in his preferred position, though, and it does, and few exercise precision control like him.","Sid Lowe"
43,"11","-32","Roberto Firmino","Forward","CENTRE","Liverpool","England",29,"Brazil","This has probably been the Brazilian’s most difficult year since he established himself at Liverpool and, in that sense, it is no shock he has dropped 32 places. There have not been many goals or assists and, following Diogo Jota’s stunning impact having arrived from Wolves, a debate broke out as to whether or not he should even be starting for Jürgen Klopp’s side. But the manager has backed him and picked him and there have been plenty of occasions when Firmino has fully justified that faith. He remains an excellent forward as well as an important part of the current champions. ","Sachin Nakrani"
